City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed,Date
riverbank,US,37.736,54.99,93,100,18.41,1673721256
sao filipe,CV,14.8961,75.61,64,1,7.63,1673721256
broome,US,42.2506,25.63,82,100,12.66,1673721257
grindavik,IS,63.8424,21.67,63,0,6.91,1673721257
barrow,US,71.2906,-7.58,84,100,18.41,1673721257
barcelos,PT,41.5388,55.92,94,100,9.93,1673721215
luanda,AO,-8.8368,80.6,74,40,9.22,1673721258
cumberland,US,35.0502,45.86,50,100,11.5,1673721029
cruz alta,BR,-28.6386,81.54,41,97,4.52,1673721258
richards bay,ZA,-28.783,76.59,84,1,9.08,1673721258
bereda,ES,43.2686,55.15,89,100,12.71,1673721259
tecoanapa,MX,16.5167,82.54,62,0,9.89,1673721259
constitucion,CL,-35.3333,66.65,61,26,17.25,1673721259
pevek,RU,69.7008,-23.62,99,10,2.37,1673721260
les cayes,HT,18.2,81.61,59,100,7.18,1673721260
bongandanga,CD,1.5,82.42,37,100,2.77,1673721260
pindwara,IN,24.8,49.1,32,0,5.03,1673721261
ambilobe,MG,-13.2,73.98,94,100,1.92,1673721261
high rock,BS,26.6208,55.42,61,14,29.35,1673721261
katherine,AU,-14.4667,77.32,88,100,3.44,1673721262
ballina,AU,-28.8667,66.02,99,100,2.17,1673721262
dudinka,RU,69.4058,-43.4,94,65,3.2,1673721263
karabuk,TR,41.2049,43.66,91,68,1.5,1673721263
hasaki,JP,35.7333,52.21,79,100,23.8,1673721263
rio gallegos,AR,-51.6226,64.45,24,20,23.02,1673721264
vardo,NO,70.3705,29.39,86,80,11.43,1673721264
vila velha,BR,-20.3297,84.15,77,20,18.41,1673721264
young,UY,-32.6833,94.53,12,0,3.33,1673721265
harper,LR,4.375,80.1,78,28,9.01,1673721265
gizo,SB,-8.103,79.09,81,100,10.11,1673721266
samarai,PG,-10.6167,80.2,81,100,12.59,1673721266
kahului,US,20.8947,75.85,72,0,1.01,1673721174
longyearbyen,SJ,78.2186,28.24,86,100,27.63,1673721266
tatarsk,RU,55.219,13.96,92,100,13.98,1673721267
itarema,BR,-2.9248,85.05,62,78,17.98,1673721267
tasiilaq,GL,65.6145,17.76,52,100,17.98,1673721267
severo-kurilsk,RU,50.6789,20.28,74,94,33.93,1673721268
saldanha,ZA,-33.0117,66.25,79,19,26.11,1673721268
nantucket,US,41.2835,41.05,93,100,21.85,1673721100
magadi,IN,12.9667,62.76,46,98,5.37,1673721268
launceston,AU,-41.45,63.34,90,40,8.05,1673721269
hong gai,VN,20.956,67.08,95,43,8.46,1673721269
hithadhoo,MV,-0.6,80.56,67,99,13.73,1673721269
mogadishu,SO,2.0371,78.01,84,5,19.77,1673721269
hervey bay,AU,-25.2986,74.28,80,100,14.2,1673721270
falam,MM,22.9167,42.62,69,0,4.21,1673721270
namatanai,PG,-3.6667,78.64,84,72,4.47,1673721271
rosendal,NO,59.9867,37.74,80,100,10.45,1673721271
eloy,US,32.7559,67.86,42,100,5.39,1673721271
dovers,VC,12.8833,85.59,78,87,13.8,1673721271
bethel,US,41.3712,34.02,69,100,13.8,1673721217
podporozhye,RU,60.9112,33.6,95,100,11.56,1673721272
werda,BW,-25.2667,82.92,24,0,7.54,1673721272
faanui,PF,-16.4833,76.39,86,100,11.32,1673721272
casablanca,MA,33.5928,59.34,77,20,6.91,1673721273
yagodnoye,RU,62.55,-28.35,96,100,4.27,1673721273
saskylakh,RU,71.9167,-45.78,100,69,2.68,1673721273
chivilcoy,AR,-34.8957,97.66,8,0,2.84,1673721182
charters towers,AU,-20.1,69.82,94,100,14.05,1673721274
pisco,PE,-13.7,73.45,68,0,10.36,1673721209
mahebourg,MU,-20.4081,79.09,78,40,10.36,1673721274
kanungu,UG,-0.9575,64.09,71,33,4.05,1673721274
hovd,MN,48.0056,-7.02,80,8,1.54,1673721274
zyryanka,RU,65.75,-26.27,96,100,9.06,1673721275
lasa,IT,46.6166,36.48,75,100,2.66,1673721275
talnakh,RU,69.4865,-37.66,86,3,3.42,1673721198
kutum,SD,14.2,62.44,22,21,7.02,1673721275
bambanglipuro,ID,-7.95,77.86,83,100,7.45,1673721275
bluff,NZ,-46.6,54.14,82,2,3.94,1673721276
alofi,NU,-19.0595,71.49,100,32,1.14,1673721276
kodiak,US,57.79,38.71,93,100,5.75,1673721276
ostrovnoy,RU,68.0531,32.68,89,100,18.88,1673721277
amuntai,ID,-2.4177,73.2,97,100,2.26,1673721277
seoul,KR,37.5683,37.0,96,100,6.91,1673721055
flinders,AU,-34.5833,67.17,83,12,4.0,1673721277
nouakchott,MR,18.0858,89.53,22,2,11.65,1673721278
nassau,US,40.7507,36.7,73,100,17.27,1673721029
hofn,IS,64.2539,18.9,69,0,19.62,1673721278
tricase,IT,39.9304,49.93,87,40,8.05,1673721278
beringovskiy,RU,63.05,-3.26,95,100,17.43,1673721278
edson,CA,53.5835,24.91,93,20,3.44,1673721279
san patricio,US,28.017,69.66,39,0,11.18,1673721279
gunjur,GM,13.2019,91.47,79,0,3.44,1673721279
lagoa,PT,39.05,54.9,55,90,29.08,1673721279
muktsar,IN,30.4833,43.03,37,0,6.82,1673721280
waddan,LY,29.1614,57.31,61,53,8.14,1673721280
landsmeer,NL,52.4308,51.98,92,75,19.57,1673721280
malibu,US,34.005,57.07,96,100,6.93,1673721057
anton lizardo,MX,19.05,75.22,58,74,8.41,1673721281
fort nelson,CA,58.8053,1.94,86,75,4.61,1673721281
khor,RU,47.8861,-30.14,98,5,3.96,1673721281
thompson,CA,55.7435,-7.44,84,100,8.05,1673721281
elmadag,TR,39.9208,36.34,45,25,0.87,1673721282
egvekinot,RU,66.3167,-6.61,82,93,19.98,1673721282
acajutla,SV,13.5928,87.84,44,8,3.69,1673721283
caravelas,BR,-17.7125,82.56,65,0,10.4,1673721283
sept-iles,CA,50.2001,14.05,52,75,9.22,1673721018
gurupi,BR,-11.7292,83.37,73,100,2.73,1673721089
tura,IN,25.5198,58.26,55,4,2.21,1673721283
morondava,MG,-20.2833,75.88,93,100,21.81,1673721283
bengkulu,ID,-3.8004,75.13,88,100,3.62,1673721284
vao,NC,-22.6667,76.57,76,18,18.12,1673721284
xining,CN,36.6167,6.13,88,95,1.32,1673721284
wawa,NG,9.9022,82.04,21,100,5.06,1673721032
belyy yar,RU,53.6039,21.09,78,0,17.9,1673721285
verkhnetulomskiy,RU,68.6073,26.73,98,94,3.42,1673721285
black river,JM,18.0264,84.97,46,4,12.21,1673721285
leeuwarden,NL,53.2014,52.0,93,100,19.57,1673721285
roswell,US,34.0232,43.99,53,0,11.5,1673721286
mehamn,NO,71.0357,31.46,74,100,18.81,1673721286
pemangkat,ID,1.1667,77.34,83,98,3.76,1673721286
dekar,BW,-21.5333,77.54,43,18,7.16,1673721287
terney,RU,45.0503,-1.52,74,25,10.42,1673721287
los llanos de aridane,ES,28.6585,67.12,69,75,4.61,1673721287
christchurch,NZ,-43.5333,62.33,79,75,8.05,1673721288
naze,JP,28.3667,65.32,91,84,13.6,1673721288
isla vista,US,34.4133,58.24,90,100,10.36,1673721174
makubetsu,JP,45.3714,16.7,61,100,10.25,1673721288
salalah,OM,17.0151,77.09,69,75,6.91,1673721289
sambava,MG,-14.2667,76.95,81,93,6.46,1673721289
lorengau,PG,-2.0226,81.37,78,100,9.98,1673721289
little current,CA,45.9793,21.42,59,0,3.98,1673721289
solnechnyy,RU,50.7214,-21.03,98,43,3.96,1673721290
suarez,CO,2.954,78.62,71,95,2.64,1673721290
nikolskoye,RU,59.7035,35.49,95,100,12.8,1673721290
marawi,PH,7.9986,67.73,96,100,0.78,1673721291
stephenville,US,32.2207,61.25,28,0,11.5,1673721037
upernavik,GL,72.7868,5.09,65,100,5.64,1673721291
ovalle,CL,-30.5983,85.14,31,0,11.21,1673721291
antibes,FR,43.5624,54.88,81,0,11.5,1673721292
nanortalik,GL,60.1432,23.38,85,100,19.01,1673721292
praia,CV,14.9215,79.34,57,0,17.27,1673721292
bathsheba,BB,13.2167,83.01,74,40,16.11,1673721292
boa vista,BR,2.8197,85.98,54,75,9.22,1673721293
arlit,NE,18.7369,69.93,17,100,12.5,1673721293
new norfolk,AU,-42.7826,66.92,89,29,6.22,1673721293
presidente medici,BR,-11.1753,83.19,67,86,5.48,1673721294
matara,LK,5.9485,73.99,91,71,3.42,1673721294
ruteng,ID,-8.6136,62.67,90,100,1.34,1673721294
yellowknife,CA,62.456,-3.44,77,100,9.22,1673721295
novoagansk,RU,61.9449,-6.74,98,30,6.02,1673721295
antalaha,MG,-14.9003,75.09,84,53,6.31,1673721295
jacarei,BR,-23.3053,88.52,51,75,3.44,1673721295
sahuaripa,MX,29.05,79.75,16,90,2.95,1673721296
acapulco,MX,16.8634,85.82,37,0,5.75,1673721293
maniago,IT,46.1706,46.8,86,0,5.75,1673721296
kazachinskoye,RU,57.6953,10.62,94,100,8.19,1673721296
meridian,US,43.6121,50.32,77,100,7.0,1673721128
nagorsk,RU,59.3172,21.04,93,100,11.92,1673721192
eureka,US,40.8021,52.41,96,100,8.99,1673721041
beloha,MG,-25.1667,76.3,75,0,18.32,1673721297
blackwater,AU,-23.5833,68.68,88,100,10.83,1673721297
akdepe,TM,42.0551,15.89,36,0,10.87,1673721297
palana,RU,59.1167,7.27,89,100,5.82,1673721196
poros,GR,37.4994,53.96,63,9,1.74,1673721298
mayor pablo lagerenza,PY,-19.9309,88.11,44,98,2.66,1673721298
san quintin,MX,30.4833,63.57,56,94,7.72,1673721299
effingham,US,32.3669,48.65,37,23,12.95,1673721299
pahrump,US,36.2083,54.25,58,100,15.99,1673721035
esil,KZ,51.9556,0.59,87,19,8.19,1673721300
capinopolis,BR,-18.6819,81.21,69,86,5.99,1673721300
thohoyandou,ZA,-22.9456,72.57,63,0,3.24,1673721210
sal rei,CV,16.1833,75.4,73,20,17.27,1673721300
geraldton,AU,-28.7667,66.61,82,0,8.05,1673721301
provideniya,RU,64.3833,0.91,94,100,13.53,1673721301
bangkalan,ID,-7.0455,78.75,83,100,7.65,1673721301
wellington,NZ,-41.2866,57.56,88,0,1.14,1673721034
teahupoo,PF,-17.8333,76.96,79,100,10.56,1673721302
sovetskiy,RU,61.3614,13.35,93,100,5.3,1673721302
marsa matruh,EG,31.3525,57.4,77,40,6.91,1673721304
vila franca do campo,PT,37.7167,55.81,72,98,22.39,1673721304
lebu,CL,-37.6167,61.39,65,100,17.6,1673721305
kailua,US,21.4022,74.07,85,7,1.86,1673721191
mount isa,AU,-20.7333,76.77,73,100,8.05,1673721305
itoman,JP,26.1247,71.62,88,75,1.14,1673721305
urumqi,CN,43.801,-10.25,84,40,0.0,1673721306
sao jose da coroa grande,BR,-8.8978,81.86,67,98,10.89,1673721306
narsaq,GL,60.9167,14.22,94,99,2.08,1673721306
kirakira,SB,-10.4544,77.52,89,100,8.43,1673721306
agadir,MA,30.4202,68.45,54,0,3.98,1673721307
ancud,CL,-41.8697,58.91,66,31,8.41,1673721307
baruun-urt,MN,46.6806,-15.81,85,6,5.73,1673721308
kruisfontein,ZA,-34.0033,66.81,81,77,3.29,1673721308
moron,AR,-34.6534,95.02,20,0,4.94,1673721307
doha,QA,25.2867,67.89,80,0,6.91,1673721308
bhag,PK,29.0415,49.03,11,0,2.04,1673721309
neryungri,RU,56.6709,-24.43,94,100,2.37,1673721309
husavik,IS,66.0449,18.72,70,100,7.36,1673721309
berbera,SO,10.4396,77.13,77,7,11.12,1673721310
chernyshevskiy,RU,63.0128,-66.1,100,74,1.3,1673721310
asau,RO,46.4333,33.44,95,47,1.7,1673721311
taltal,CL,-25.4,69.55,70,24,6.38,1673721311
otane,NZ,-39.8833,59.02,81,10,2.01,1673721311
san cristobal,VE,7.7669,78.98,51,68,4.99,1673721311
tizimin,MX,21.15,75.81,41,45,9.89,1673721312
pangai,TO,-19.8,78.91,94,20,0.0,1673721312
lahaina,US,20.8783,75.81,73,6,4.03,1673721312
valparaiso,CL,-33.0393,77.23,65,0,13.8,1673721127
iberia,US,29.9502,54.05,49,0,5.75,1673721146
gwadar,PK,25.1216,56.17,27,0,13.22,1673721313
kaniama,CD,-7.5667,65.84,97,100,0.94,1673721313
conceicao do araguaia,BR,-8.2578,82.92,74,100,1.97,1673721314
rostovka,RU,55.3842,12.87,93,100,12.93,1673721314
praia da vitoria,PT,38.7333,55.65,71,75,28.95,1673721314
shadrinsk,RU,56.0852,13.42,84,52,13.2,1673721147
tabat,ID,-2.635,73.51,96,100,2.3,1673721315
adrar,MR,20.5022,70.32,15,0,10.96,1673721315
svetlogorsk,BY,52.6333,32.77,97,100,5.61,1673721315
ponta delgada,PT,37.7333,56.12,71,40,35.68,1673721316
quatre cocos,MU,-20.2078,78.91,74,100,11.99,1673721316
tuatapere,NZ,-46.1333,56.8,75,1,2.21,1673721316
port hawkesbury,CA,45.6169,55.81,98,100,21.0,1673721317
flin flon,CA,54.7682,10.24,79,100,6.91,1673721029
poso,ID,-1.3959,77.14,78,94,3.24,1673721317
vila,PT,42.0304,47.28,90,100,9.48,1673721318
verkhniy avzyan,RU,53.5289,4.39,87,100,3.31,1673721318
troitskaya,RU,43.3056,22.8,92,23,3.65,1673721318
huamachuco,PE,-7.8,60.71,59,100,4.0,1673721319
sitka,US,57.0531,42.69,87,100,0.0,1673721279
yulara,AU,-25.2406,79.38,39,11,20.58,1673721319
tabou,CI,4.423,80.28,79,74,8.9,1673721319
sibolga,ID,1.7427,75.09,91,100,2.21,1673721320
kalabo,ZM,-14.97,70.9,74,88,4.68,1673721320
nouadhibou,MR,20.931,82.38,23,0,8.05,1673721320
cobija,BO,-11.0267,91.58,58,75,4.61,1673721321
alpena,US,45.0617,28.11,68,0,0.0,1673721321
kalaleh,IR,37.3807,33.4,55,0,4.61,1673721321
buala,SB,-8.145,75.92,89,100,4.97,1673721321
paamiut,GL,61.994,18.91,84,100,3.78,1673721322
paso de patria,AR,-27.2454,88.07,22,92,7.76,1673721322
virginia beach,US,36.8529,38.05,69,100,16.11,1673721305
kayes,ML,14.0,85.21,11,100,7.63,1673721323
mata,PT,40.683,50.94,91,100,7.54,1673721324
tommot,RU,58.9564,-31.38,99,100,0.56,1673721324
ostersund,SE,63.1792,18.05,100,100,3.44,1673721324
joshimath,IN,30.5667,34.88,40,8,8.16,1673721324
ryotsu,JP,38.0833,43.02,84,100,8.34,1673721325
luau,AO,-10.7073,64.13,96,100,3.38,1673721325
abu zabad,SD,12.35,69.53,17,58,14.65,1673721326
puri,IN,19.8,72.12,81,0,9.91,1673721297
togur,RU,58.3631,14.27,96,100,6.06,1673721326
piacabucu,BR,-10.4056,82.78,66,79,11.77,1673721326
baie-comeau,CA,49.2168,19.08,58,40,5.75,1673721042
whyalla,AU,-33.0333,65.3,68,88,22.55,1673721327
aquiraz,BR,-3.9014,88.45,67,1,14.12,1673721327
saint-paul,RE,-21.0096,78.91,76,10,1.23,1673721328
kropotkin,RU,45.4375,31.41,86,9,8.43,1673721328
sola,VU,-13.8833,77.67,85,100,9.89,1673721329
bay roberts,CA,47.5999,55.15,91,100,13.0,1673721070
kokoda,PG,-8.8785,73.67,95,99,0.45,1673721329
yarkovo,RU,57.4028,12.99,94,91,7.9,1673721329
sao sebastiao,BR,-23.76,81.91,77,99,6.17,1673721330
ibra,OM,22.6906,61.45,52,1,2.24,1673721330
kathu,TH,7.9178,85.69,99,72,13.02,1673721330
haines junction,CA,60.7522,1.47,99,100,1.19,1673721330
acapetahua,MX,15.2833,92.35,31,1,3.31,1673721331
russell,US,32.3502,45.68,49,0,12.66,1673721035
pacific grove,US,36.6177,57.65,92,100,18.41,1673721331
yelatma,RU,54.9675,15.39,93,97,11.48,1673721331
santiago de cao,PE,-7.9589,73.53,73,75,10.36,1673721332
grenville,GD,12.1167,84.25,79,96,11.43,1673721332
fomboni,KM,-12.28,81.37,72,100,5.06,1673721333
waipawa,NZ,-41.4122,56.01,70,29,4.09,1673721333
padang,ID,-0.9492,76.5,87,100,2.28,1673721333
manapparai,IN,10.6,70.66,85,32,3.36,1673721333
balabac,PH,7.9868,79.39,79,100,11.18,1673721334
samarina,RU,57.8878,37.29,87,100,13.33,1673721334
verkhnevilyuysk,RU,63.4453,-75.75,100,94,2.53,1673721334
yizheng,CN,24.6706,41.25,62,0,3.31,1673721334
arman,RU,59.7,-12.87,96,100,12.28,1673721335
saint-georges,GD,12.0564,83.88,70,20,17.27,1673721335
pitkyaranta,RU,61.5734,32.23,98,100,16.06,1673721189
alenquer,BR,-1.9417,80.55,79,100,6.49,1673721335
price,US,39.5994,29.46,69,75,0.0,1673721335
campbell river,CA,50.0163,47.73,100,100,8.05,1673721336
ust-tsilma,RU,65.441,28.65,94,100,8.97,1673721336
aleksandrov gay,RU,50.147,17.22,60,3,12.82,1673721337
port lincoln,AU,-34.7333,61.32,67,100,16.31,1673721337
turukhansk,RU,65.8167,-33.92,90,64,8.41,1673721337
la ronge,CA,55.1001,14.25,85,100,10.36,1673721337
alta floresta,BR,-9.8756,75.78,95,100,2.77,1673721338
norton,ZW,-17.8833,65.25,83,79,3.65,1673721338
hamilton,US,39.1834,36.19,65,75,11.5,1673721241
cap malheureux,MU,-19.9842,78.48,69,50,5.01,1673721068
dingle,PH,10.9995,73.53,97,100,3.02,1673721338
sindor,RU,62.8629,24.76,95,100,9.86,1673721338
sarangani,PH,5.4033,80.89,81,96,14.9,1673721339
thyboron,DK,56.6985,41.14,95,100,22.21,1673721339
sosua,DO,19.7667,86.23,78,40,18.41,1673721339
amursk,RU,50.2261,-23.67,100,79,4.03,1673721340
coquimbo,CL,-29.9533,69.53,64,20,14.97,1673721177
lihula,EE,58.6814,37.89,93,100,14.12,1673721340
ayan,RU,56.45,-25.24,65,2,20.58,1673721340
malakal,SS,9.5334,78.96,21,0,5.79,1673721341
marshall,US,34.3834,41.09,57,75,10.36,1673721060
katobu,ID,-4.9408,75.74,90,100,1.9,1673721341
nome,US,64.5011,12.27,67,100,11.5,1673721341
aklavik,CA,68.2191,-9.4,84,75,3.44,1673721341
carmen,MX,18.6333,73.44,60,75,9.22,1673721342
tarko-sale,RU,64.9225,-20.16,100,63,6.22,1673721342
lensk,RU,60.7253,-34.58,99,100,2.46,1673721193
jaru,BR,-10.4389,79.93,82,100,2.15,1673721342
bati,ET,11.1833,62.51,56,19,2.53,1673721342
estevan,CA,49.1334,32.34,93,75,10.36,1673721343
pakaur,IN,24.6333,62.51,55,0,3.22,1673721343
santa cruz,BO,-17.8,75.25,69,75,9.22,1673721281
bayshore gardens,US,27.4253,57.97,56,40,14.97,1673721343
genhe,CN,50.7833,-22.07,99,98,3.11,1673721343
chicama,PE,-7.8447,72.14,54,18,11.61,1673721344
manta,EC,-0.95,83.98,65,20,12.66,1673721344
daru,PG,-9.0763,77.13,87,79,1.77,1673721344
vanavara,RU,60.34,-52.51,100,95,2.89,1673721344
kapra,IN,17.4846,65.1,46,26,2.73,1673721345
saint-joseph,RE,-21.3667,77.38,77,25,10.2,1673721345
koumac,NC,-20.5667,77.0,75,18,3.56,1673721345
margate,GB,51.3813,46.9,71,100,4.0,1673721346
panlaitan,PH,12.1191,79.16,84,100,15.55,1673721346
watertown,US,42.3709,35.06,89,100,10.36,1673721346
jalor,IN,25.35,48.97,23,0,6.17,1673721346
puerto baquerizo moreno,EC,-0.9,81.59,69,40,10.36,1673721347
sakakah,SA,29.9697,47.77,68,0,6.8,1673721347
souillac,MU,-20.5167,79.18,78,40,10.36,1673721347
pinega,RU,64.7001,30.34,96,100,10.11,1673721347
millinocket,US,45.6573,28.51,86,100,10.36,1673721348
voi,KE,-3.3945,73.31,70,5,5.41,1673721348
mandalgovi,MN,45.7625,-3.19,57,0,9.78,1673721348
iseyin,NG,7.9667,84.56,17,52,2.44,1673721349
mogocha,RU,53.7333,-19.86,98,100,2.59,1673721349
aksarka,RU,66.5606,2.25,96,98,6.2,1673721349
bud,US,39.447,32.34,77,2,6.08,1673721349
wiarton,CA,44.7407,22.03,73,20,4.61,1673721350
jumla,NP,29.2747,34.54,41,79,4.03,1673721350
sao felix do xingu,BR,-6.6447,81.16,88,100,0.58,1673721218
cockburn town,TC,21.4612,78.76,73,40,8.05,1673721350
mojo,ET,8.6,61.54,49,2,8.93,1673721350
henties bay,NA,-22.116,64.58,89,46,3.58,1673721351
meulaboh,ID,4.1363,75.29,89,100,3.18,1673721351
